CIDADE;CASOS CONFIRMADOS;DATA ATUALIZAÇÃO;MORTOS;order_for_place;ESTADO
Itajuípe;944;2020-09-30;21;180;BA
Itamaraju;2161;2020-09-30;28;182;BA
Itamari;220;2020-09-30;2;160;BA
Itambé;401;2020-09-30;5;106;BA
Itanagra;34;2020-09-30;3;129;BA
Itanhém;472;2020-09-30;7;127;BA
Itaparica;355;2020-09-30;10;154;BA
Itapé;421;2020-09-30;8;167;BA
Itapebi;181;2020-09-30;5;171;BA
Itapetinga;1935;2020-09-30;41;176;BA
Itapicuru;729;2020-09-30;3;140;BA
Itapitanga;302;2020-09-30;2;141;BA
Itaquara;85;2020-09-30;1;121;BA
Itarantim;317;2020-09-30;10;175;BA
Itatim;160;2020-09-30;8;172;BA
Itiruçu;81;2020-09-30;2;111;BA
Itiúba;98;2020-09-30;2;132;BA
Itororó;696;2020-09-30;14;182;BA
Ituaçu;15;2020-09-30;1;119;BA
Ituberá;666;2020-09-30;17;171;BA
Iuiú;25;2020-09-30;0;113;BA
Jaborandi;91;2020-09-30;2;127;BA
Jacaraci;12;2020-09-30;0;129;BA
Jacobina;769;2020-09-30;9;144;BA
Jaguaquara;2423;2020-09-30;17;170;BA
Jaguarari;513;2020-09-30;2;152;BA
Jaguaripe;295;2020-09-30;3;130;BA
Jandaíra;269;2020-09-30;4;117;BA
Jequié;5740;2020-09-30;141;188;BA
Jeremoabo;356;2020-09-30;6;111;BA
Jiquiriçá;105;2020-09-30;1;126;BA
Jitaúna;287;2020-09-30;12;144;BA
João Dourado;288;2020-09-30;9;122;BA
Juazeiro;5125;2020-09-30;102;188;BA
Jucuruçu;257;2020-09-30;0;92;BA
Jussara;121;2020-09-30;1;115;BA
Jussari;196;2020-09-30;5;149;BA
Jussiape;10;2020-09-30;0;147;BA
Lafaiete Coutinho;67;2020-09-30;2;138;BA
Lagoa Real;7;2020-09-30;0;75;BA
Laje;244;2020-09-30;6;155;BA
Lajedão;99;2020-09-30;0;127;BA
